"Id","AdviceUnitId","Name","Name_Length","Notes","Notes_Length","IsVisibleToClient","CreatedUTCDateTime","LastModifiedUTCDateTime","RiskLevelId","RiskLevelNotes","RiskLevelNotes_Length","RiskLevelLastModifiedUTCDateTime","RiskLevelBusinessProcessInstanceId","RiskLevelUpdatedByStaffId","SustainabilityLevelId","SustainabilityLevelNotes","SustainabilityLevelNotes_Length","SustainabilityLevelLastModifiedUTCDateTime","SustainabilityLevelBusinessProcessInstanceId","SustainabilityLevelUpdatedByStaffId","ObjectiveNotes","ObjectiveNotes_Length","ObjectiveLastModifiedUTCDateTime","ObjectiveBusinessProcessInstanceId","ObjectiveUpdatedByStaffId","MinimumThresholdAmount","MinimumThresholdCurrencyId","MinimumThresholdLastModifiedUTCDateTime","MinimumThresholdBusinessProcessInstanceId","MinimumThresholdUpdatedByStaffId"
"1825d820-1547-4bbb-aafe-bf5e6ddfaf8c","8f3b8b01-a437-4d47-8598-c2643bd724c9","ORbTcklnHql6+quLvYVfWs8NYaz1e6Ch1BpCWSO7Ok0=","86","NULL","NULL","True","2025-08-04T21:53:25","2025-08-04T21:53:25","5","NULL","NULL","2025-08-04T21:53:25","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","1","NULL","NULL","2025-08-04T21:53:25","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","Kghm/yjq5YfKcXqqu8JAcWTD+CQgYtIMt1zpSwL+o3k=","37","2025-08-04T21:53:25","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","1.0000","1","2025-08-04T21:53:25","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3"
"a87c171a-b88c-462f-a5f0-b82a9028392a","bfda1cce-1731-447a-adfa-c26609034c39","+tnJCcyBGvw8KvXaHZWrFHr9V3U8fDK0HqTIBPvW8+8=","94","NULL","NULL","True","2025-08-04T22:55:49","2025-08-04T22:55:55","1","NULL","NULL","2025-08-04T22:55:49","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","3","NULL","NULL","2025-08-04T22:55:49","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","Kghm/yjq5YfKcXqqu8JAcWTD+CQgYtIMt1zpSwL+o3k=","37","2025-08-04T22:55:49","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","1.0000","1","2025-08-04T22:55:49","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3"
"722466fc-dd81-47fc-a85e-7d4856ce3927","6c80e120-1c06-4dbc-b028-c81784c79bf8","+tnJCcyBGvw8KvXaHZWrFHr9V3U8fDK0HqTIBPvW8+8=","94","NULL","NULL","True","2025-08-04T22:13:36","2025-08-04T22:13:36","1","NULL","NULL","2025-08-04T22:13:36","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","3","NULL","NULL","2025-08-04T22:13:36","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","Kghm/yjq5YfKcXqqu8JAcWTD+CQgYtIMt1zpSwL+o3k=","37","2025-08-04T22:13:36","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","1.0000","1","2025-08-04T22:13:36","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3"
"dd0c962b-47d7-415c-8a79-d7a99f4bb65e","9d8b1b72-c819-49c7-b4dd-c842cbe1f410","1ZuzzrUYaXsO4zKfMWowB014+Qbc0iPBmzh6FzOf4C4=","50","NULL","NULL","True","2025-08-04T22:41:09","2025-08-04T22:41:09","3","NULL","NULL","2025-08-04T22:41:09","NULL","ec0181b2-3d68-4dbe-ae4b-4880382e5b3c","NULL","NULL","NULL","NULL","NULL","NULL","phSoeYmkp15Gewi1jOwbBqFIpeJ5uOhMLNFZF31DitM=","11","2025-08-04T22:41:09","NULL","ec0181b2-3d68-4dbe-ae4b-4880382e5b3c","1.0000","1","2025-08-04T22:41:09","NULL","ec0181b2-3d68-4dbe-ae4b-4880382e5b3c"
"aa7bd83f-75bd-4218-a4c6-25e00fd400eb","a947bf29-1b01-4a93-a70f-c987527b2200","1ZuzzrUYaXsO4zKfMWowB014+Qbc0iPBmzh6FzOf4C4=","50","NULL","NULL","True","2025-08-04T21:57:04","2025-08-04T21:57:04","1","NULL","NULL","2025-08-04T21:57:04","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","1","NULL","NULL","2025-08-04T21:57:04","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","Kghm/yjq5YfKcXqqu8JAcWTD+CQgYtIMt1zpSwL+o3k=","37","2025-08-04T21:57:04","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","1.0000","1","2025-08-04T21:57:04","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3"
"77942d91-08a8-43b6-8bb9-b8e21fcdecde","393a1ae6-e859-4fc4-a4a9-c9ee966a159b","ieUKYrGoeoMfsTuF9sNJZ/OLON2srMf91ChrX8LbipU=","6","NULL","NULL","False","2024-08-19T19:04:40","2025-08-04T01:39:28","6","/rCFae8SZtDf92rOUpXYN/6kTHr90uxm9rK4r/TIItI=","27","2025-08-04T01:39:28","218161cb-de0d-4332-aabd-aa1f3655c679","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"3af5a635-ba2b-42a0-9350-66c348ed78f7","4a9abfe3-a46f-4e20-975a-1bc4130c64c9","1ZuzzrUYaXsO4zKfMWowB014+Qbc0iPBmzh6FzOf4C4=","50","NULL","NULL","True","2025-08-04T22:00:05","2025-08-04T22:00:05","8","NULL","NULL","2025-08-04T22:00:05","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","2","NULL","NULL","2025-08-04T22:00:05","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","Kghm/yjq5YfKcXqqu8JAcWTD+CQgYtIMt1zpSwL+o3k=","37","2025-08-04T22:00:05","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","1.0000","1","2025-08-04T22:00:05","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3"
"6a84a5a0-8ca5-42e0-b649-82cb593ab99a","0635cf53-45a9-412b-9422-3be30b635eb4","9huJJDXHyoWd3P6aM2YUwQTH4LdNUVVJDsclcuks8Yo=","24","Gp8+ED+Jj+k7psv2h9kBKTILDoqb42MQwrXAMsp2QUk=","42","False","2024-02-20T16:35:59","2025-08-04T23:24:22","4","NULL","NULL","2024-02-20T16:35:59","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","3","NULL","NULL","2025-08-04T23:24:22","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"c8cdcbbb-b55f-413b-bde9-2c13e1b4a0ea","3e433021-bd38-4eff-8a2a-894edd57499d","n/3Kzs5UCsknVQFTGsXuj3xtR38EqIp8H54G44EG5Zc=","14","NULL","NULL","False","2025-08-04T20:50:37","2025-08-04T20:50:37","NULL","NULL","NULL","NULL","NULL","NULL","5","NULL","NULL","2025-08-04T20:50:37","b4b9b257-ac8e-4d8d-a144-bf6578e6816f","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"ddb0a6cc-9031-4a6c-813c-6fb07e118f53","7e2fe693-438e-401b-bf7a-cc09fa4fcbd0","1ZuzzrUYaXsO4zKfMWowB014+Qbc0iPBmzh6FzOf4C4=","50","NULL","NULL","False","2025-08-04T21:32:12","2025-08-04T21:32:12","NULL","NULL","NULL","NULL","NULL","NULL","3","NULL","NULL","2025-08-04T21:32:12","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
